"object_type","schema_name","object_name","column_name","data_type","is_nullable","related_object_name","description"
"PRIMARY_KEY","auth","saml_relay_states","id","null","null","null","saml_relay_states_pkey"
"PRIMARY_KEY","auth","schema_migrations","version","null","null","null","schema_migrations_pkey"
"PRIMARY_KEY","auth","sessions","id","null","null","null","sessions_pkey"
"PRIMARY_KEY","auth","sso_domains","id","null","null","null","sso_domains_pkey"
"PRIMARY_KEY","auth","sso_providers","id","null","null","null","sso_providers_pkey"
"PRIMARY_KEY","auth","users","id","null","null","null","users_pkey"
"PRIMARY_KEY","public","comment_votes","id","null","null","null","comment_votes_pkey"
"PRIMARY_KEY","public","comments","id","null","null","null","comments_pkey"
"PRIMARY_KEY","public","conversation_participants","id","null","null","null","conversation_participants_pkey"
"PRIMARY_KEY","public","conversations","id","null","null","null","conversations_pkey"
"PRIMARY_KEY","public","friendships","id","null","null","null","friendships_pkey"
"PRIMARY_KEY","public","group_members","id","null","null","null","group_members_pkey"
"PRIMARY_KEY","public","groups","id","null","null","null","groups_pkey"
"PRIMARY_KEY","public","likes","id","null","null","null","likes_pkey"
"PRIMARY_KEY","public","media","id","null","null","null","media_pkey"
"PRIMARY_KEY","public","messages","id","null","null","null","messages_pkey"
"PRIMARY_KEY","public","notifications","id","null","null","null","notifications_pkey"
"PRIMARY_KEY","public","posts","id","null","null","null","posts_pkey"
"PRIMARY_KEY","public","user_hidden_posts","post_id","null","null","null","user_hidden_posts_pkey"
"PRIMARY_KEY","public","user_hidden_posts","post_id","null","null","null","user_hidden_posts_pkey"
"PRIMARY_KEY","public","user_hidden_posts","user_id","null","null","null","user_hidden_posts_pkey"
"PRIMARY_KEY","public","user_hidden_posts","user_id","null","null","null","user_hidden_posts_pkey"
"PRIMARY_KEY","public","user_saved_posts","post_id","null","null","null","user_saved_posts_pkey"
"PRIMARY_KEY","public","user_saved_posts","post_id","null","null","null","user_saved_posts_pkey"
"PRIMARY_KEY","public","user_saved_posts","user_id","null","null","null","user_saved_posts_pkey"
"PRIMARY_KEY","public","user_saved_posts","user_id","null","null","null","user_saved_posts_pkey"
"PRIMARY_KEY","public","users","id","null","null","null","users_pkey"
"PRIMARY_KEY","realtime","messages","id","null","null","null","messages_pkey"
"PRIMARY_KEY","realtime","messages","id","null","null","null","messages_pkey"
"PRIMARY_KEY","realtime","messages","inserted_at","null","null","null","messages_pkey"
"PRIMARY_KEY","realtime","messages","inserted_at","null","null","null","messages_pkey"
"PRIMARY_KEY","realtime","schema_migrations","version","null","null","null","schema_migrations_pkey"
"PRIMARY_KEY","realtime","subscription","id","null","null","null","pk_subscription"
